epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,605.316,1.12122,1.07928,1.2939,0.74085,0.55461,0.61583,0.34642,1.37535,1.2222,1.36008,0.000424187,0.000424187,0.000424187
43,619.998,1.10221,1.0681,1.28318,0.754,0.56965,0.63258,0.3529,1.37757,1.18515,1.36172,0.000417119,0.000417119,0.000417119
44,634.517,1.09505,1.05438,1.28198,0.74766,0.57238,0.63115,0.35678,1.36438,1.19477,1.3478,0.00041005,0.00041005,0.00041005
45,648.937,1.12017,1.07137,1.2869,0.76028,0.56658,0.63119,0.35676,1.37615,1.20915,1.35399,0.000402982,0.000402982,0.000402982
46,662.945,1.11668,1.06569,1.29631,0.76524,0.56434,0.62849,0.35643,1.35653,1.21202,1.35215,0.000395913,0.000395913,0.000395913
47,676.994,1.08097,1.0595,1.281,0.77037,0.5502,0.62779,0.35732,1.35539,1.20197,1.34022,0.000388844,0.000388844,0.000388844
48,691.047,1.08207,1.04044,1.26739,0.76371,0.56582,0.62726,0.35392,1.38035,1.18598,1.35343,0.000381776,0.000381776,0.000381776
49,704.977,1.07311,1.04015,1.26793,0.76524,0.57345,0.63553,0.36394,1.336,1.17949,1.33383,0.000374707,0.000374707,0.000374707
50,719.211,1.10022,1.04018,1.27414,0.75948,0.57391,0.64167,0.36779,1.34351,1.15752,1.32983,0.000367639,0.000367639,0.000367639
51,733.258,1.06709,1.02521,1.25744,0.78488,0.57119,0.64457,0.36788,1.35615,1.13528,1.35226,0.00036057,0.00036057,0.00036057
52,747.401,1.07255,1.00008,1.25115,0.74911,0.58544,0.64216,0.36244,1.37278,1.15102,1.34132,0.000353501,0.000353501,0.000353501
53,761.333,1.06836,1.00196,1.25826,0.76319,0.57838,0.64309,0.36959,1.35409,1.13318,1.33573,0.000346433,0.000346433,0.000346433
54,775.474,1.06627,1.00085,1.25838,0.75399,0.59688,0.65086,0.37703,1.32361,1.10917,1.31967,0.000339364,0.000339364,0.000339364
55,789.499,1.0581,1.00462,1.25526,0.77726,0.58679,0.65288,0.37768,1.32287,1.10583,1.31881,0.000332296,0.000332296,0.000332296
56,803.727,1.05071,0.97251,1.2412,0.78281,0.56311,0.64144,0.36962,1.31515,1.11981,1.32141,0.000325227,0.000325227,0.000325227
57,817.812,1.05048,0.96717,1.23652,0.79061,0.58692,0.65819,0.38199,1.32835,1.1122,1.3263,0.000318158,0.000318158,0.000318158
58,831.634,1.06626,0.97527,1.24425,0.75249,0.59716,0.6519,0.38233,1.32288,1.10178,1.31743,0.00031109,0.00031109,0.00031109
59,845.508,1.04068,0.97253,1.24487,0.76256,0.59228,0.64783,0.37773,1.32653,1.09878,1.32637,0.000304021,0.000304021,0.000304021
60,859.347,1.04491,0.97522,1.23384,0.77075,0.60006,0.66333,0.38726,1.30564,1.09169,1.31951,0.000296953,0.000296953,0.000296953
61,873.306,1.05685,0.97158,1.24023,0.77265,0.57968,0.65188,0.38144,1.30752,1.09348,1.30931,0.000289884,0.000289884,0.000289884
62,887.171,1.02128,0.94411,1.22566,0.77298,0.57708,0.6545,0.3872,1.31479,1.07512,1.32031,0.000282815,0.000282815,0.000282815
63,901.232,1.03432,0.93599,1.22472,0.77282,0.59772,0.65718,0.38477,1.31915,1.07598,1.31511,0.000275747,0.000275747,0.000275747
64,915.268,1.03373,0.94788,1.23237,0.78386,0.58011,0.65373,0.38227,1.30921,1.08657,1.3046,0.000268678,0.000268678,0.000268678
65,929.094,1.02365,0.93159,1.21892,0.77223,0.59083,0.65647,0.38338,1.30885,1.06198,1.3071,0.00026161,0.00026161,0.00026161
66,943.096,1.01788,0.92559,1.22705,0.80481,0.58708,0.67182,0.3905,1.31274,1.07065,1.31288,0.000254541,0.000254541,0.000254541
